"disease","metabolite","chemical_taxonomy"
"Ulcerative colitis","sorbitol","Organic oxygen compounds"
"Ulcerative colitis","taurine","Organic acids and derivatives"
"Ulcerative colitis","succinic acid","Organic acids and derivatives"
"Ulcerative colitis","sucrose","Organic oxygen compounds"
"Ulcerative colitis","pyroglutamic acid","Organic acids and derivatives"
"Ulcerative colitis","xanthine","Organoheterocyclic compounds"
"Ulcerative colitis","uridine","Nucleosides, nucleotides, and analogues"
"Ulcerative colitis","xanthosine","Nucleosides, nucleotides, and analogues"
"Ulcerative colitis","uracil","Organoheterocyclic compounds"
"Ulcerative colitis","tyramine","Benzenoids"
"Ulcerative colitis","2-hydroxy-3-methylpentanoic acid","Lipids and lipid-like molecules"
"Ulcerative colitis","3-hydroxybutyric acid","Organic acids and derivatives"
"Ulcerative colitis","allantoin","Organoheterocyclic compounds"
"Ulcerative colitis","5-hydroxy-l-tryptophan","Organoheterocyclic compounds"
"Ulcerative colitis","butanone","Organic oxygen compounds"
"Ulcerative colitis","caprylic acid","Lipids and lipid-like molecules"
"Ulcerative colitis","aminoadipic acid","Organic acids and derivatives"
"Ulcerative colitis","l-arginine","Organic acids and derivatives"
"Ulcerative colitis","caproic acid","Lipids and lipid-like molecules"
"Ulcerative colitis","3-methyladipic acid","Lipids and lipid-like molecules"
"Ulcerative colitis","creatinine","Organic acids and derivatives"
"Ulcerative colitis","cholic acid","Lipids and lipid-like molecules"
"Ulcerative colitis","dodecanedioic acid","Lipids and lipid-like molecules"
"Ulcerative colitis","deoxycholic acid","Lipids and lipid-like molecules"
"Ulcerative colitis","cytosine","Organoheterocyclic compounds"
"Ulcerative colitis","l-glutamine","Organic acids and derivatives"
"Ulcerative colitis","decanoylcarnitine","Lipids and lipid-like molecules"
"Ulcerative colitis","glutaric acid","Organic acids and derivatives"
"Ulcerative colitis","linoleic acid","Lipids and lipid-like molecules"
"Ulcerative colitis","l-kynurenine","Organic oxygen compounds"
"Ulcerative colitis","l-leucine","Organic acids and derivatives"
"Ulcerative colitis","isocaproic acid","Lipids and lipid-like molecules"
"Ulcerative colitis","l-methionine","Organic acids and derivatives"
"Ulcerative colitis","hippuric acid","Benzenoids"
"Ulcerative colitis","kynurenic acid","Organoheterocyclic compounds"
"Ulcerative colitis","isovaleric acid","Lipids and lipid-like molecules"
"Ulcerative colitis","l-homoserine","Organic acids and derivatives"
"Ulcerative colitis","4-hydroxyproline","Organic acids and derivatives"
"Ulcerative colitis","indole","Organoheterocyclic compounds"
"Ulcerative colitis","5-hydroxyindoleacetic acid","Organoheterocyclic compounds"
"Ulcerative colitis","hydrocinnamic acid","Phenylpropanoids and polyketides"
"Ulcerative colitis","l-octanoylcarnitine","Lipids and lipid-like molecules"
"Ulcerative colitis","sebacic acid","Lipids and lipid-like molecules"
"Ulcerative colitis","normetanephrine","Benzenoids"
"Ulcerative colitis","propionylcarnitine","Lipids and lipid-like molecules"
"Ulcerative colitis","neopterin","Organoheterocyclic compounds"
"Ulcerative colitis","isopropyl alcohol","Organic oxygen compounds"
"Ulcerative colitis","l-valine","Organic acids and derivatives"
"Ulcerative colitis","valeric acid","Lipids and lipid-like molecules"
"Ulcerative colitis","1-methylhistamine","Organic nitrogen compounds"
"Ulcerative colitis","citrulline","Organic acids and derivatives"
"Ulcerative colitis","trimethylamine","Organic nitrogen compounds"
"Ulcerative colitis","trimethylamine n-oxide","Organic nitrogen compounds"
"Ulcerative colitis","l-tryptophan","Organoheterocyclic compounds"
"Ulcerative colitis","taurochenodesoxycholic acid","Lipids and lipid-like molecules"
"Ulcerative colitis","acetaldehyde","Organic oxygen compounds"
"Ulcerative colitis","gamma-glutamylcysteine","Organic acids and derivatives"
"Ulcerative colitis","glyceraldehyde","Organic oxygen compounds"
"Ulcerative colitis","octanol","Lipids and lipid-like molecules"
"Ulcerative colitis","spermidine","Organic nitrogen compounds"
"Ulcerative colitis","niacinamide","Organoheterocyclic compounds"
"Ulcerative colitis","putrescine","Organic nitrogen compounds"
"Ulcerative colitis","thiocyanate","Organosulfur compounds"
"Ulcerative colitis","nicotinic acid","Organoheterocyclic compounds"
"Ulcerative colitis","acetone","Organic oxygen compounds"
"Ulcerative colitis","methylsuccinic acid","Lipids and lipid-like molecules"
"Ulcerative colitis","p-cresol","Benzenoids"
"Ulcerative colitis","isobutyric acid","Organic acids and derivatives"
"Ulcerative colitis","methanol","Organic oxygen compounds"
"Ulcerative colitis","2-aminoisobutyric acid","Organic acids and derivatives"
"Ulcerative colitis","ethylmethylacetic acid","Lipids and lipid-like molecules"
"Ulcerative colitis","desaminotyrosine","Phenylpropanoids and polyketides"
"Ulcerative colitis","dimethylsulfide","Organosulfur compounds"
"Ulcerative colitis","cadaverine","Organic nitrogen compounds"
"Ulcerative colitis","methane","Hydrocarbons"
"Ulcerative colitis","methyl isobutyl ketone","Organic oxygen compounds"
"Ulcerative colitis","methanethiol","Organosulfur compounds"
"Ulcerative colitis","acetoin","Organic oxygen compounds"
"Ulcerative colitis","symmetric dimethylarginine","Organic acids and derivatives"
"Ulcerative colitis","d-glutamic acid","Organic acids and derivatives"
"Ulcerative colitis","5-aminopentanoic acid","Organic acids and derivatives"
"Ulcerative colitis","d-limonene","Lipids and lipid-like molecules"
"Ulcerative colitis","2-heptanone","Organic oxygen compounds"
"Ulcerative colitis","d-urobilinogen","Organoheterocyclic compounds"
"Ulcerative colitis","l-urobilin","Organoheterocyclic compounds"
"Ulcerative colitis","d-urobilin","Organoheterocyclic compounds"
"Ulcerative colitis","2-oxohexane","Organic oxygen compounds"
"Ulcerative colitis","dimethyldisulfide","Organosulfur compounds"
"Ulcerative colitis","hexanal","Organic oxygen compounds"
"Ulcerative colitis","iso-valeraldehyde","Organic oxygen compounds"
"Ulcerative colitis","pc(22:2(13z,16z)/14:1(9z))","Lipids and lipid-like molecules"
"Ulcerative colitis","phenylethylamine","Benzenoids"
"Ulcerative colitis","dimethyl trisulfide","Organosulfur compounds"
"Ulcerative colitis","furan","Organoheterocyclic compounds"
"Ulcerative colitis","(e)-2-octenal","Organic oxygen compounds"
"Ulcerative colitis","1-nitroheptane","Organic 1,3-dipolar compounds"
"Ulcerative colitis","2-pentylfuran","Organoheterocyclic compounds"
"Ulcerative colitis","mesalazine","Benzenoids"
"Ulcerative colitis","tranexamic acid","Organic acids and derivatives"
"Ulcerative colitis","p-mentha-1,3,5,8-tetraene","Benzenoids"
"Ulcerative colitis","ethyl acetate","Organic acids and derivatives"
"Ulcerative colitis","2-nonanone","Organic oxygen compounds"
"Ulcerative colitis","undecane","Hydrocarbons"
"Ulcerative colitis","5-methyl-2-hexanone","Organooxygen compounds"
"Ulcerative colitis","2-furancarboxaldehyde","Organooxygen compounds"
"Ulcerative colitis","3,4-dimethylthiophene","Organoheterocyclic compounds"
"Ulcerative colitis","2,5-dimethylfuran","Organoheterocyclic compounds"
"Ulcerative colitis","toluene","Benzenoids"
"Ulcerative colitis","levoinositol","Organic oxygen compounds"
"Ulcerative colitis","2-pentanone","Organic oxygen compounds"
"Ulcerative colitis","1-isopropyl-2-methylbenzene","Benzenoids"
"Ulcerative colitis","n-acetyl-5-aminosalicylic acid","Benzenoids"
"Ulcerative colitis","octanoate radical","Lipids and lipid-like molecules"
"11-beta-Hydroxylase deficiency","cortexolone","Lipids and lipid-like molecules"
"11-beta-Hydroxylase deficiency","androstenedione","Lipids and lipid-like molecules"
"11-beta-Hydroxylase deficiency","testosterone","Lipids and lipid-like molecules"
"11-beta-Hydroxylase deficiency","17-hydroxyprogesterone","Lipids and lipid-like molecules"
"11-beta-Hydroxylase deficiency","dehydroepiandrosterone sulfate","Lipids and lipid-like molecules"
"11-beta-Hydroxylase deficiency","tetrahydrodeoxycortisol","Lipids and lipid-like molecules"
"11-beta-Hydroxylase deficiency","pregnanetriol","Lipids and lipid-like molecules"
"Sepsis","cortexolone","Lipids and lipid-like molecules"
"Sepsis","acetic acid","Organic acids and derivatives"
"Sepsis","l-glutamic acid","Organic acids and derivatives"
"Sepsis","sucrose","Organic oxygen compounds"
"Sepsis","18-hydroxycortisol","Lipids and lipid-like molecules"
"Sepsis","3,5-diiodothyronine","Organic acids and derivatives"
"Sepsis","didemethylcitalopram","Benzenoids"
"Sepsis","monoethylglycinexylidide","Organic acids and derivatives"
"Iron deficiency","4-pyridoxic acid","Organoheterocyclic compounds"
"Iron deficiency","2-methylcitric acid","Organic acids and derivatives"
"Iron deficiency","dodecanedioic acid","Lipids and lipid-like molecules"
"Iron deficiency","fe2+","Homogeneous metal compounds"
"Iron deficiency","sebacic acid","Lipids and lipid-like molecules"
"Iron deficiency","stearic acid","Lipids and lipid-like molecules"
"Iron deficiency","5-methylcytidine","Nucleosides, nucleotides, and analogues"
"Iron deficiency","retinyl beta-glucuronide","Lipids and lipid-like molecules"
"Iron deficiency","lysopa(p-16:0e/0:0)","Lipids and lipid-like molecules"
"Epilepsy","p-hydroxyphenylacetic acid","Benzenoids"
"Epilepsy","biotin","Organoheterocyclic compounds"
"Epilepsy","gamma-aminobutyric acid","Organic acids and derivatives"
"Epilepsy","homovanillic acid","Benzenoids"
"Epilepsy","l-glutamic acid","Organic acids and derivatives"
"Epilepsy","l-tyrosine","Organic acids and derivatives"
"Epilepsy","l-phenylalanine","Organic acids and derivatives"
"Epilepsy","l-alanine","Organic acids and derivatives"
"Epilepsy","l-threonine","Organic acids and derivatives"
"Epilepsy","l-asparagine","Organic acids and derivatives"
"Epilepsy","l-isoleucine","Organic acids and derivatives"
"Epilepsy","l-histidine","Organic acids and derivatives"
"Epilepsy","l-aspartic acid","Organic acids and derivatives"
"Epilepsy","taurine","Organic acids and derivatives"
"Epilepsy","l-glutamine","Organic acids and derivatives"
"Epilepsy","l-leucine","Organic acids and derivatives"
"Epilepsy","l-methionine","Organic acids and derivatives"
"Epilepsy","5-hydroxyindoleacetic acid","Organoheterocyclic compounds"
"Epilepsy","l-valine","Organic acids and derivatives"
"Epilepsy","citrulline","Organic acids and derivatives"
"Epilepsy","l-tryptophan","Organoheterocyclic compounds"
"Epilepsy","adp","Nucleosides, nucleotides, and analogues"
"Epilepsy","vanylglycol","Benzenoids"
"Fumarase deficiency","p-hydroxyphenylacetic acid","Benzenoids"
"Fumarase deficiency","ammonia","Homogeneous non-metal compounds"
"Fumarase deficiency","glycolic acid","Organic acids and derivatives"
"Fumarase deficiency","fumaric acid","Organic acids and derivatives"
"Fumarase deficiency","l-tyrosine","Organic acids and derivatives"
"Fumarase deficiency","l-threonine","Organic acids and derivatives"
"Fumarase deficiency","l-asparagine","Organic acids and derivatives"
"Fumarase deficiency","l-histidine","Organic acids and derivatives"
"Fumarase deficiency","l-lysine","Organic acids and derivatives"
"Fumarase deficiency","l-serine","Organic acids and derivatives"
"Fumarase deficiency","l-cystine","Organic acids and derivatives"
"Fumarase deficiency","methylmalonic acid","Organic acids and derivatives"
"Fumarase deficiency","oxoglutaric acid","Organic acids and derivatives"
"Fumarase deficiency","ornithine","Organic acids and derivatives"
"Fumarase deficiency","pyruvic acid","Organic acids and derivatives"
"Fumarase deficiency","succinic acid","Organic acids and derivatives"
"Fumarase deficiency","3-hydroxybutyric acid","Organic acids and derivatives"
"Fumarase deficiency","adipic acid","Lipids and lipid-like molecules"
"Fumarase deficiency","l-glutamine","Organic acids and derivatives"
"Fumarase deficiency","glutaric acid","Organic acids and derivatives"
"Fumarase deficiency","l-leucine","Organic acids and derivatives"
"Fumarase deficiency","l-methionine","Organic acids and derivatives"
"Fumarase deficiency","saicar","Nucleosides, nucleotides, and analogues"
"Fumarase deficiency","citrulline","Organic acids and derivatives"
"Fumarase deficiency","succinyladenosine","Nucleosides, nucleotides, and analogues"
"Fumarase deficiency","oxalic acid","Organic acids and derivatives"
"Lung Cancer","p-hydroxyphenylacetic acid","Benzenoids"
"Lung Cancer","acetic acid","Organic acids and derivatives"
"Lung Cancer","betaine","Organic acids and derivatives"
"Lung Cancer","l-carnitine","Organic nitrogen compounds"
"Lung Cancer","creatine","Organic acids and derivatives"
"Lung Cancer","cis-aconitic acid","Organic acids and derivatives"
"Lung Cancer","citric acid","Organic acids and derivatives"
"Lung Cancer","choline","Organic nitrogen compounds"
"Lung Cancer","d-xylose","Organic oxygen compounds"
"Lung Cancer","ethanol","Organic oxygen compounds"
"Lung Cancer","glycolic acid","Organic acids and derivatives"
"Lung Cancer","glycine","Organic acids and derivatives"
"Lung Cancer","fumaric acid","Organic acids and derivatives"
"Lung Cancer","formic acid","Organic acids and derivatives"
"Lung Cancer","hypoxanthine","Organoheterocyclic compounds"
"Lung Cancer","l-alanine","Organic acids and derivatives"
"Lung Cancer","l-serine","Organic acids and derivatives"
"Lung Cancer","oleic acid","Lipids and lipid-like molecules"
"Lung Cancer","taurine","Organic acids and derivatives"
"Lung Cancer","sphingosine","Organic nitrogen compounds"
"Lung Cancer","succinic acid","Organic acids and derivatives"
"Lung Cancer","sucrose","Organic oxygen compounds"
"Lung Cancer","adipic acid","Lipids and lipid-like molecules"
"Lung Cancer","levoglucosan","Organoheterocyclic compounds"
"Lung Cancer","linoleic acid","Lipids and lipid-like molecules"
"Lung Cancer","1-methylnicotinamide","Organoheterocyclic compounds"
"Lung Cancer","hippuric acid","Benzenoids"
"Lung Cancer","alpha-hydroxyisobutyric acid","Organic acids and derivatives"
"Lung Cancer","3-hydroxyisovaleric acid","Lipids and lipid-like molecules"
"Lung Cancer","mannitol","Organic oxygen compounds"
"Lung Cancer","trigonelline","Alkaloids and derivatives"
"Lung Cancer","l-valine","Organic acids and derivatives"
"Lung Cancer","trimethylamine n-oxide","Organic nitrogen compounds"
"Lung Cancer","trans-aconitic acid","Organic acids and derivatives"
"Lung Cancer","dehydroepiandrosterone sulfate","Lipids and lipid-like molecules"
"Lung Cancer","phosphorylcholine","Organic nitrogen compounds"
"Lung Cancer","acetone","Organic oxygen compounds"
"Lung Cancer","propylene glycol","Organic oxygen compounds"
"Spina Bifida","p-hydroxyphenylacetic acid","Benzenoids"
"Spina Bifida","choline","Organic nitrogen compounds"
"Spina Bifida","substance p","Organic Polymers"
"Phenylketonuria","p-hydroxyphenylacetic acid","Benzenoids"
"Phenylketonuria","acetic acid","Organic acids and derivatives"
"Phenylketonuria","betaine","Organic acids and derivatives"
"Phenylketonuria","cysteinylglycine","Organic acids and derivatives"
"Phenylketonuria","citric acid","Organic acids and derivatives"
"Phenylketonuria","homovanillic acid","Benzenoids"
"Phenylketonuria","glycine","Organic acids and derivatives"
"Phenylketonuria","l-phenylalanine","Organic acids and derivatives"
"Phenylketonuria","l-histidine","Organic acids and derivatives"
"Phenylketonuria","phenylpyruvic acid","Benzenoids"
"Phenylketonuria","phenylacetic acid","Benzenoids"
"Phenylketonuria","vanillylmandelic acid","Benzenoids"
"Phenylketonuria","17-hydroxyprogesterone","Lipids and lipid-like molecules"
"Phenylketonuria","3-hydroxyphenylacetic acid","Benzenoids"
"Phenylketonuria","creatinine","Organic acids and derivatives"
"Phenylketonuria","gamma-glutamylphenylalanine","Organic acids and derivatives"
"Phenylketonuria","ortho-hydroxyphenylacetic acid","Benzenoids"
"Phenylketonuria","l-leucine","Organic acids and derivatives"
"Phenylketonuria","mandelic acid","Benzenoids"
"Phenylketonuria","4-hydroxyphenylpyruvic acid","Benzenoids"
"Phenylketonuria","hippuric acid","Benzenoids"
"Phenylketonuria","hydroxyphenyllactic acid","Phenylpropanoids and polyketides"
"Phenylketonuria","phenyllactic acid","Phenylpropanoids and polyketides"
"Phenylketonuria","l-valine","Organic acids and derivatives"
"Phenylketonuria","meta-hydroxyphenylhydracrylic acid","Organic acids and derivatives"
"Parkinson's disease","3-methoxytyramine","Benzenoids"
"Parkinson's disease","homovanillic acid","Benzenoids"
"Parkinson's disease","l-cystine","Organic acids and derivatives"
"Parkinson's disease","taurine","Organic acids and derivatives"
"Parkinson's disease","serotonin","Organoheterocyclic compounds"
"Parkinson's disease","isohomovanillic acid","Benzenoids"
"Parkinson's disease","calcium","Homogeneous metal compounds"
"Parkinson's disease","biopterin","Organoheterocyclic compounds"
"Parkinson's disease","magnesium","Homogeneous metal compounds"
"Parkinson's disease","chromium","Homogeneous metal compounds"
"Parkinson's disease","cobalt","Homogeneous metal compounds"
"Parkinson's disease","copper","Homogeneous metal compounds"
"Parkinson's disease","fe2+","Homogeneous metal compounds"
"Parkinson's disease","homocysteine","Organic acids and derivatives"
"Parkinson's disease","neopterin","Organoheterocyclic compounds"
"Parkinson's disease","s-adenosylhomocysteine","Nucleosides, nucleotides, and analogues"
"Parkinson's disease","aluminum","Homogeneous metal compounds"
"Parkinson's disease","molybdenum","Homogeneous metal compounds"
"Parkinson's disease","manganese","Homogeneous metal compounds"
"Parkinson's disease","zirconium","Homogeneous metal compounds"
"Parkinson's disease","vanylglycol","Benzenoids"
"Parkinson's disease","5-hydroxytryptophol","Organoheterocyclic compounds"
"Parkinson's disease","tin","Mixed metal/non-metal compounds"
"Parkinson's disease","tungsten","Homogeneous metal compounds"
"Parkinson's disease","1-phenylethylamine","Organic nitrogen compounds"
"Parkinson's disease","nickel","Homogeneous metal compounds"
"Parkinson's disease","vanadium","Homogeneous metal compounds"
"Parkinson's disease","mercury","Homogeneous metal compounds"
"Parkinson's disease","cadmium","Homogeneous metal compounds"
"Parkinson's disease","strontium","Homogeneous metal compounds"
"Parkinson's disease","barium","Homogeneous metal compounds"
"Parkinson's disease","4-hydroxynonenal","Lipids and lipid-like molecules"
"Parkinson's disease","lead","Homogeneous metal compounds"
"Parkinson's disease","lithium","Homogeneous metal compounds"
"Parkinson's disease","malondialdehyde","Organic oxygen compounds"
"Parkinson's disease","thallium","Mixed metal/non-metal compounds"
"Parkinson's disease","zinc","Homogeneous metal compounds"
"Brunner Syndrome","3-methoxytyramine","Benzenoids"
"Brunner Syndrome","homovanillic acid","Benzenoids"
"Brunner Syndrome","serotonin","Organoheterocyclic compounds"
"Brunner Syndrome","vanillylmandelic acid","Benzenoids"
"Brunner Syndrome","tyramine","Benzenoids"
"Brunner Syndrome","5-hydroxyindoleacetic acid","Organoheterocyclic compounds"
"Brunner Syndrome","normetanephrine","Benzenoids"
"Brunner Syndrome","vanylglycol","Benzenoids"
"3-Hydroxyisobutyric aciduria","(s)-3-hydroxyisobutyric acid","Organic acids and derivatives"
"Metachromatic leukodystrophy","3-o-sulfogalactosylceramide (d18:1/24:0)","Lipids and lipid-like molecules"
"Dihydropyrimidinase deficiency","ureidopropionic acid","Organic acids and derivatives"
"Dihydropyrimidinase deficiency","dihydrothymine","Organoheterocyclic compounds"
"Acute Lymphoblastic Leukemia","biotin","Organoheterocyclic compounds"
"Acute Lymphoblastic Leukemia","thromboxane a2","Lipids and lipid-like molecules"
"Dementia","biotin","Organoheterocyclic compounds"
"Dementia","l-lactic acid","Organic acids and derivatives"
"Dementia","l-cysteine","Organic acids and derivatives"
"Dementia","homocysteine","Organic acids and derivatives"
"Head injury","biotin","Organoheterocyclic compounds"
"Head injury","epinephrine","Benzenoids"
"Head injury","thromboxane a2","Lipids and lipid-like molecules"
"Head injury","caffeine","Organoheterocyclic compounds"
"Head injury","paraxanthine","Organoheterocyclic compounds"
"Head injury","theophylline","Organoheterocyclic compounds"
"Head injury","3-nitrotyrosine","Organic acids and derivatives"
"Head injury","theobromine","Organoheterocyclic compounds"
"Motor neuron disease","biotin","Organoheterocyclic compounds"
"Motor neuron disease","nitrite","Inorganic compounds"
"Multiple sclerosis","biotin","Organoheterocyclic compounds"
"Multiple sclerosis","acetic acid","Organic acids and derivatives"
"Multiple sclerosis","glutathione","Organic acids and derivatives"
"Multiple sclerosis","uric acid","Organoheterocyclic compounds"
"Multiple sclerosis","calcium","Homogeneous metal compounds"
"Multiple sclerosis","magnesium","Homogeneous metal compounds"
"Multiple sclerosis","l-cysteine","Organic acids and derivatives"
"Multiple sclerosis","chromium","Homogeneous metal compounds"
"Multiple sclerosis","cobalt","Homogeneous metal compounds"
"Multiple sclerosis","copper","Homogeneous metal compounds"
"Multiple sclerosis","fe2+","Homogeneous metal compounds"
"Multiple sclerosis","homocysteine","Organic acids and derivatives"
"Multiple sclerosis","neopterin","Organoheterocyclic compounds"
"Multiple sclerosis","angiotensin ii","Organic acids and derivatives"
"Multiple sclerosis","aluminum","Homogeneous metal compounds"
"Multiple sclerosis","molybdenum","Homogeneous metal compounds"
"Multiple sclerosis","manganese","Homogeneous metal compounds"
"Multiple sclerosis","tin","Mixed metal/non-metal compounds"
"Multiple sclerosis","tungsten","Homogeneous metal compounds"
"Multiple sclerosis","cobalamin","Organoheterocyclic compounds"
"Multiple sclerosis","nickel","Homogeneous metal compounds"
"Multiple sclerosis","vanadium","Homogeneous metal compounds"
"Multiple sclerosis","mercury","Homogeneous metal compounds"
"Multiple sclerosis","cadmium","Homogeneous metal compounds"
"Multiple sclerosis","strontium","Homogeneous metal compounds"
"Multiple sclerosis","antimony","Homogeneous metal compounds"
"Multiple sclerosis","barium","Homogeneous metal compounds"
"Multiple sclerosis","lead","Homogeneous metal compounds"
"Multiple sclerosis","lithium","Homogeneous metal compounds"
"Multiple sclerosis","malondialdehyde","Organic oxygen compounds"
"Multiple sclerosis","thallium","Mixed metal/non-metal compounds"
"Multiple sclerosis","zinc","Homogeneous metal compounds"
"Hirsutism","androsterone","Lipids and lipid-like molecules"
"Hirsutism","etiocholanolone","Lipids and lipid-like molecules"
"Hirsutism","dehydroepiandrosterone sulfate","Lipids and lipid-like molecules"
"Smith-Lemli-Opitz syndrome","7-dehydrocholesterol","Lipids and lipid-like molecules"
"Smith-Lemli-Opitz syndrome","mevalonic acid","Lipids and lipid-like molecules"
"Smith-Lemli-Opitz syndrome","25-hydroxyvitamin d2","Lipids and lipid-like molecules"
"Lathosterolosis","7-dehydrocholesterol","Lipids and lipid-like molecules"
"Lathosterolosis","bilirubin","Organic compounds"
"Carnosinuria","carnosine","Organic acids and derivatives"
"Tuberculous meningitis","adenine","Organoheterocyclic compounds"
"Tuberculous meningitis","pipecolic acid","Organic acids and derivatives"
"Tuberculous meningitis","gamma-aminobutyric acid","Organic acids and derivatives"
"Tuberculous meningitis","quinolinic acid","Organoheterocyclic compounds"
"Tuberculous meningitis","urea","Organic acids and derivatives"
"Tuberculous meningitis","kynurenic acid","Organoheterocyclic compounds"
"Thymidine treatment","adenine","Organoheterocyclic compounds"
"Thymidine treatment","hypoxanthine","Organoheterocyclic compounds"
"Thymidine treatment","inosine","Nucleosides, nucleotides, and analogues"
"Thymidine treatment","thymine","Organoheterocyclic compounds"
"Thymidine treatment","5-hydroxymethyluracil","Organoheterocyclic compounds"
"Biliary atresia","taurocholic acid","Lipids and lipid-like molecules"
"Biliary atresia","glycolic acid","Organic acids and derivatives"
"Biliary atresia","glycocholic acid","Lipids and lipid-like molecules"
"Biliary atresia","allolithocholic acid","Lipids and lipid-like molecules"
"Biliary atresia","chenodeoxycholic acid","Lipids and lipid-like molecules"
"Biliary atresia","cholic acid","Lipids and lipid-like molecules"
"Biliary atresia","chenodeoxycholic acid glycine conjugate","Lipids and lipid-like molecules"
"Biliary atresia","lithocholic acid","Organic compounds"
"Biliary atresia","taurochenodesoxycholic acid","Lipids and lipid-like molecules"
"Cirrhosis","taurocholic acid","Lipids and lipid-like molecules"
"Cirrhosis","creatine","Organic acids and derivatives"
"Cirrhosis","l-aspartic acid","Organic acids and derivatives"
"Cirrhosis","l-palmitoylcarnitine","Lipids and lipid-like molecules"
"Cirrhosis","urea","Organic acids and derivatives"
"Cirrhosis","tyramine","Benzenoids"
"Cirrhosis","chenodeoxycholic acid","Lipids and lipid-like molecules"
"Cirrhosis","deoxypyridinoline","Organic acids and derivatives"
"Cirrhosis","desmosine","Organic acids and derivatives"
"Cirrhosis","3,5-diiodothyronine","Organic acids and derivatives"
"Cirrhosis","cholic acid","Lipids and lipid-like molecules"
"Cirrhosis","deoxycholic acid glycine conjugate","Lipids and lipid-like molecules"
"Cirrhosis","homo-l-arginine","Organic acids and derivatives"
"Cirrhosis","linoleic acid","Lipids and lipid-like molecules"
"Cirrhosis","1-methylnicotinamide","Organoheterocyclic compounds"
"Cirrhosis","isodesmosine","Organic acids and derivatives"
"Cirrhosis","3-methylthiopropionic acid","Lipids and lipid-like molecules"
"Cirrhosis","guanidine","Organic nitrogen compounds"
"Cirrhosis","propylene glycol","Organic oxygen compounds"
"Cirrhosis","sulfolithocholylglycine","Lipids and lipid-like molecules"
"Cirrhosis","guanidinosuccinic acid","Organic acids and derivatives"
"Cirrhosis","methanethiol","Organosulfur compounds"
"Cirrhosis","palmitoleic acid","Lipids and lipid-like molecules"
"Cirrhosis","4-guanidinobutanoic acid","Organic acids and derivatives"
"Cirrhosis","d-urobilin","Organoheterocyclic compounds"
"Cirrhosis","p-octopamine","Benzenoids"
"Cirrhosis","lysopc(16:0)","Lipids and lipid-like molecules"
"Cirrhosis","lysopc(18:0)","Lipids and lipid-like molecules"
"Cirrhosis","lysopc(18:2(9z,12z))","Lipids and lipid-like molecules"
"Hepatocellular carcinoma","taurocholic acid","Lipids and lipid-like molecules"
"Hepatocellular carcinoma","hypoxanthine","Organoheterocyclic compounds"
"Hepatocellular carcinoma","urea","Organic acids and derivatives"
"Hepatocellular carcinoma","chenodeoxycholic acid","Lipids and lipid-like molecules"
"Hepatocellular carcinoma","deoxycholic acid glycine conjugate","Lipids and lipid-like molecules"
"Hepatocellular carcinoma","thromboxane a2","Lipids and lipid-like molecules"
"Hepatocellular carcinoma","d-xylitol","Organic oxygen compounds"
"Hepatocellular carcinoma","1-methyladenosine","Nucleosides, nucleotides, and analogues"
"Hepatocellular carcinoma","d-urobilin","Organoheterocyclic compounds"
"Hepatocellular carcinoma","lysopc(16:0)","Lipids and lipid-like molecules"
"Hepatocellular carcinoma","lysopc(18:0)","Lipids and lipid-like molecules"
"Hepatocellular carcinoma","arabinofuranose","Organic oxygen compounds"
"Metastatic melanoma","taurocholic acid","Lipids and lipid-like molecules"
"Metastatic melanoma","adenosine monophosphate","Nucleosides, nucleotides, and analogues"
"Metastatic melanoma","xanthosine","Nucleosides, nucleotides, and analogues"
"Metastatic melanoma","aminoadipic acid","Organic acids and derivatives"
"Metastatic melanoma","capric acid","Lipids and lipid-like molecules"
"Metastatic melanoma","dodecanoic acid","Lipids and lipid-like molecules"
"Metastatic melanoma","valeric acid","Lipids and lipid-like molecules"
"Metastatic melanoma","sulfate","Homogeneous non-metal compounds"
"Metastatic melanoma","caffeine","Organoheterocyclic compounds"
"Metastatic melanoma","benzoic acid","Benzenoids"
"Metastatic melanoma","m-tyramine","Benzenoids"
"Metastatic melanoma","sm(d18:0/16:0)","Lipids and lipid-like molecules"
"Metastatic melanoma","sm(d18:1/24:1(15z))","Lipids and lipid-like molecules"
"Metastatic melanoma","(r)-2,3-dihydroxy-isovalerate","Lipids and lipid-like molecules"
"Metastatic melanoma","urolithin a","Phenylpropanoids and polyketides"
"Metastatic melanoma","amprenavir","Benzenoids"
"Metastatic melanoma","piperidine","Organoheterocyclic compounds"
"Corticosterone methyl oxidase I deficiency","aldosterone","Lipids and lipid-like molecules"
"Corticosterone methyl oxidase I deficiency","cortisol","Lipids and lipid-like molecules"
"Corticosterone methyl oxidase I deficiency","potassium","Homogeneous metal compounds"
"Corticosterone methyl oxidase I deficiency","sodium","Homogeneous metal compounds"
"Heart failure","aldosterone","Lipids and lipid-like molecules"
"Heart failure","l-glutamic acid","Organic acids and derivatives"
"Heart failure","l-alanine","Organic acids and derivatives"
"Heart failure","l-threonine","Organic acids and derivatives"
"Heart failure","l-isoleucine","Organic acids and derivatives"
"Heart failure","l-serine","Organic acids and derivatives"
"Heart failure","taurine","Organic acids and derivatives"
"Heart failure","l-arginine","Organic acids and derivatives"
"Heart failure","l-leucine","Organic acids and derivatives"
"Heart failure","l-methionine","Organic acids and derivatives"
